Account  ↑,APHIS Registration Number,State,Fiscal Year,Animal,"COLUMN B: HELD, NOT USED",COLUMN C: USED NO PAIN,COLUMN D: USED PAIN MINIMIZED,COLUMN E: PAIN NOT MINIMIZED
,42-R-0054,Iowa (IA),2021,Non-Human Primates,,,,
,42-R-0054,Iowa (IA),2021,Sheep,,,,
,42-R-0054,Iowa (IA),2021,Pigs,,,,
,42-R-0054,Iowa (IA),2021,Other Animals,0,8,0,0
,42-R-0054,Iowa (IA),2021,Thirteen-lined ground squirrel,0,8,0,0
MACOMB COMMUNITY COLLEGE,34-R-0060,Michigan (MI),2021,Dogs,0,57,0,0
,34-R-0060,Michigan (MI),2021,Cats,0,53,0,0
,34-R-0060,Michigan (MI),2021,Guinea Pigs,0,4,0,0
,34-R-0060,Michigan (MI),2021,Hamsters,0,12,0,0
,34-R-0060,Michigan (MI),2021,Rabbits,0,8,0,0
,34-R-0060,Michigan (MI),2021,Non-Human Primates,,,,
,34-R-0060,Michigan (MI),2021,Sheep,,,,
,34-R-0060,Michigan (MI),2021,Pigs,,,,
,34-R-0060,Michigan (MI),2021,Other Animals,0,10,0,0
,34-R-0060,Michigan (MI),2021,Syrian / Golden hamster (common pet/research type),0,10,0,0
MADISON AREA TECHNICAL COLLEGE,35-R-0016,Wisconsin (WI),2021,Dogs,0,5,94,0
,35-R-0016,Wisconsin (WI),2021,Cats,0,2,91,0
,35-R-0016,Wisconsin (WI),2021,Guinea Pigs,0,2,0,0
,35-R-0016,Wisconsin (WI),2021,Hamsters,0,2,0,0
,35-R-0016,Wisconsin (WI),2021,Rabbits,0,4,8,0
,35-R-0016,Wisconsin (WI),2021,Non-Human Primates,,,,
,35-R-0016,Wisconsin (WI),2021,Sheep,,,,
,35-R-0016,Wisconsin (WI),2021,Pigs,0,2,0,0
,35-R-0016,Wisconsin (WI),2021,Other Animals,0,27,69,0
,35-R-0016,Wisconsin (WI),2021,Domestic Horse,0,11,0,0
,35-R-0016,Wisconsin (WI),2021,Cattle / Cow / Ox / Watusi,0,8,27,0
,35-R-0016,Wisconsin (WI),2021,Domestic Goat,0,8,42,0
MAGEE WOMENS RESEARCH INSTITUTE,23-R-0090,Pennsylvania (PA),2021,Dogs,,,,
,23-R-0090,Pennsylvania (PA),2021,Cats,5,0,16,0
,23-R-0090,Pennsylvania (PA),2021,Guinea Pigs,,,,
,23-R-0090,Pennsylvania (PA),2021,Hamsters,,,,
,23-R-0090,Pennsylvania (PA),2021,Rabbits,0,0,18,0
,23-R-0090,Pennsylvania (PA),2021,Non-Human Primates,,,,
,23-R-0090,Pennsylvania (PA),2021,Sheep,,,,
,23-R-0090,Pennsylvania (PA),2021,Pigs,0,0,2,0
,23-R-0090,Pennsylvania (PA),2021,Other Animals,352,0,0,0
,23-R-0090,Pennsylvania (PA),2021,Naked mole-rat,352,0,0,0
MaineHealth Institute for Research (MHIR),11-R-0002,Maine (ME),2021,Dogs,,,,
,11-R-0002,Maine (ME),2021,Cats,,,,
,11-R-0002,Maine (ME),2021,Guinea Pigs,,,,
,11-R-0002,Maine (ME),2021,Hamsters,,,,
,11-R-0002,Maine (ME),2021,Rabbits,,,,
,11-R-0002,Maine (ME),2021,Non-Human Primates,,,,
,11-R-0002,Maine (ME),2021,Sheep,,,,
,11-R-0002,Maine (ME),2021,Pigs,,,,
,11-R-0002,Maine (ME),2021,Other Animals,0,149,0,0
,11-R-0002,Maine (ME),2021,Striped skunk,0,3,0,0
,11-R-0002,Maine (ME),2021,Groundhog / Woodchuck,0,6,0,0
,11-R-0002,Maine (ME),2021,Raccoon,0,1,0,0
,11-R-0002,Maine (ME),2021,Ermine,0,2,0,0
,11-R-0002,Maine (ME),2021,Northern red-backed vole,0,28,0,0
,11-R-0002,Maine (ME),2021,Southern flying squirrel,0,4,0,0
,11-R-0002,Maine (ME),2021,Eastern chipmunk,0,17,0,0
,11-R-0002,Maine (ME),2021,American red squirrel,0,2,0,0
,11-R-0002,Maine (ME),2021,Deer mouse,0,80,0,0
,11-R-0002,Maine (ME),2021,Northern short-tailed shrew,0,6,0,0
MANOR COLLEGE,23-R-0043,Pennsylvania (PA),2021,Dogs,,,,
,23-R-0043,Pennsylvania (PA),2021,Cats,,,,
,23-R-0043,Pennsylvania (PA),2021,Guinea Pigs,,,,
,23-R-0043,Pennsylvania (PA),2021,Hamsters,,,,
,23-R-0043,Pennsylvania (PA),2021,Rabbits,0,5,0,0
,23-R-0043,Pennsylvania (PA),2021,Non-Human Primates,,,,
,23-R-0043,Pennsylvania (PA),2021,Sheep,,,,
,23-R-0043,Pennsylvania (PA),2021,Pigs,,,,
,23-R-0043,Pennsylvania (PA),2021,Other Animals,0,0,0,0
MAPLE WOODS COMMUNITY COLLEGE,43-R-0029,Missouri (MO),2021,Dogs,0,0,28,0
,43-R-0029,Missouri (MO),2021,Cats,0,0,27,0
,43-R-0029,Missouri (MO),2021,Guinea Pigs,0,0,26,0
,43-R-0029,Missouri (MO),2021,Hamsters,,,,
,43-R-0029,Missouri (MO),2021,Rabbits,0,0,12,0
,43-R-0029,Missouri (MO),2021,Non-Human Primates,,,,
,43-R-0029,Missouri (MO),2021,Sheep,0,8,0,0
,43-R-0029,Missouri (MO),2021,Pigs,0,0,10,0
,43-R-0029,Missouri (MO),2021,Other Animals,0,0,33,0
,43-R-0029,Missouri (MO),2021,Domestic Horse,0,0,5,0
,43-R-0029,Missouri (MO),2021,Domestic Goat,0,0,10,0
,43-R-0029,Missouri (MO),2021,Cattle / Cow / Ox / Watusi,0,0,18,0
MARINE BIOLOGICAL LABORATORY,14-R-0119,Massachusetts (MA),2021,Dogs,0,0,0,0
,14-R-0119,Massachusetts (MA),2021,Cats,0,0,0,0
,14-R-0119,Massachusetts (MA),2021,Guinea Pigs,0,0,0,0
,14-R-0119,Massachusetts (MA),2021,Hamsters,0,0,0,0
,14-R-0119,Massachusetts (MA),2021,Rabbits,0,0,0,0
,14-R-0119,Massachusetts (MA),2021,Non-Human Primates,0,0,0,0
,14-R-0119,Massachusetts (MA),2021,Sheep,0,0,0,0
,14-R-0119,Massachusetts (MA),2021,Pigs,0,0,0,0
,14-R-0119,Massachusetts (MA),2021,Other Animals,0,0,0,0
MARQUETTE UNIVERSITY,35-R-0138,Wisconsin (WI),2021,Dogs,,,,
,35-R-0138,Wisconsin (WI),2021,Cats,,,,
,35-R-0138,Wisconsin (WI),2021,Guinea Pigs,,,,
,35-R-0138,Wisconsin (WI),2021,Hamsters,,,,
,35-R-0138,Wisconsin (WI),2021,Rabbits,,,,
,35-R-0138,Wisconsin (WI),2021,Non-Human Primates,,,,
,35-R-0138,Wisconsin (WI),2021,Sheep,,,,
,35-R-0138,Wisconsin (WI),2021,Pigs,,,,
,35-R-0138,Wisconsin (WI),2021,Other Animals,,,,
MARSHALL FARMS GROUP LTD,21-T-0095,New York (NY),2021,Dogs,,,,
,21-T-0095,New York (NY),2021,Cats,,,,
,21-T-0095,New York (NY),2021,Guinea Pigs,,,,
,21-T-0095,New York (NY),2021,Hamsters,,,,
,21-T-0095,New York (NY),2021,Rabbits,,,,
,21-T-0095,New York (NY),2021,Non-Human Primates,,,,
,21-T-0095,New York (NY),2021,Sheep,,,,
,21-T-0095,New York (NY),2021,Pigs,,,,
,21-T-0095,New York (NY),2021,Other Animals,0,1009,0,0
,21-T-0095,New York (NY),2021,Domestic Ferret,0,1009,0,0
,21-R-0242,New York (NY),2021,Dogs,,,,
,21-R-0242,New York (NY),2021,Cats,,,,
,21-R-0242,New York (NY),2021,Guinea Pigs,,,,
,21-R-0242,New York (NY),2021,Hamsters,,,,
,21-R-0242,New York (NY),2021,Rabbits,,,,
,21-R-0242,New York (NY),2021,Non-Human Primates,,,,
,21-R-0242,New York (NY),2021,Sheep,,,,
,21-R-0242,New York (NY),2021,Pigs,,,,
,21-R-0242,New York (NY),2021,Other Animals,0,1009,0,0
,21-R-0242,New York (NY),2021,Domestic Ferret,0,1009,0,0
Marshall University,54-R-0004,West Virginia,2021,Dogs,,,,
,54-R-0004,West Virginia,2021,Cats,,,,
,54-R-0004,West Virginia,2021,Guinea Pigs,,,,
,54-R-0004,West Virginia,2021,Hamsters,,,,
,54-R-0004,West Virginia,2021,Rabbits,0,0,0,66
,54-R-0004,West Virginia,2021,Non-Human Primates,,,,
,54-R-0004,West Virginia,2021,Sheep,,,,
,54-R-0004,West Virginia,2021,Pigs,0,0,2,0
,54-R-0004,West Virginia,2021,Other Animals,0,0,0,0
MARS PETCARE U S,63-R-0127,Tennessee (TN),2021,Dogs,20,83,0,0
,63-R-0127,Tennessee (TN),2021,Cats,25,81,0,0
,63-R-0127,Tennessee (TN),2021,Guinea Pigs,,,,
,63-R-0127,Tennessee (TN),2021,Hamsters,,,,
,63-R-0127,Tennessee (TN),2021,Rabbits,,,,
,63-R-0127,Tennessee (TN),2021,Non-Human Primates,,,,
,63-R-0127,Tennessee (TN),2021,Sheep,,,,
,63-R-0127,Tennessee (TN),2021,Pigs,,,,
,63-R-0127,Tennessee (TN),2021,Other Animals,0,0,0,0
MASONIC MEDICAL RESEARCH INSTITUTE,21-R-0017,New York (NY),2021,Dogs,,,,
,21-R-0017,New York (NY),2021,Cats,,,,
,21-R-0017,New York (NY),2021,Guinea Pigs,0,0,48,0
,21-R-0017,New York (NY),2021,Hamsters,,,,
,21-R-0017,New York (NY),2021,Rabbits,0,0,10,0
,21-R-0017,New York (NY),2021,Non-Human Primates,,,,
,21-R-0017,New York (NY),2021,Sheep,,,,
,21-R-0017,New York (NY),2021,Pigs,0,0,4,0
,21-R-0017,New York (NY),2021,Other Animals,0,0,0,0
MASSACHUSETTS EYE AND EAR INFIRMARY,14-R-0022,Massachusetts (MA),2021,Chinchilla (domesticated),2,0,18,0
,14-R-0022,Massachusetts (MA),2021,Dogs,0,0,0,0
,14-R-0022,Massachusetts (MA),2021,Cats,0,0,0,0
,14-R-0022,Massachusetts (MA),2021,Guinea Pigs,0,0,19,0
,14-R-0022,Massachusetts (MA),2021,Hamsters,0,0,0,0
,14-R-0022,Massachusetts (MA),2021,Rabbits,0,0,6,5
,14-R-0022,Massachusetts (MA),2021,Non-Human Primates,0,0,0,0
,14-R-0022,Massachusetts (MA),2021,Sheep,0,0,0,0
,14-R-0022,Massachusetts (MA),2021,Pigs,0,0,0,0
,14-R-0022,Massachusetts (MA),2021,Other Animals,2,17,208,0
,14-R-0022,Massachusetts (MA),2021,Mongolian gerbil (common pet / research variety),0,17,190,0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,14-R-0018,Massachusetts (MA),2021,Dogs,,,,
,14-R-0018,Massachusetts (MA),2021,Cats,,,,
,14-R-0018,Massachusetts (MA),2021,Guinea Pigs,,,,
,14-R-0018,Massachusetts (MA),2021,Hamsters,,,,
,14-R-0018,Massachusetts (MA),2021,Rabbits,6,0,17,0
,14-R-0018,Massachusetts (MA),2021,Non-Human Primates,133,126,108,0
,14-R-0018,Massachusetts (MA),2021,Sheep,,,,
,14-R-0018,Massachusetts (MA),2021,Pigs,1,0,32,0
,14-R-0018,Massachusetts (MA),2021,Other Animals,340,50,52,0
,14-R-0018,Massachusetts (MA),2021,Mongolian gerbil (common pet / research variety),5,0,2,0
,14-R-0018,Massachusetts (MA),2021,Northern tree shrew,0,0,5,0
,14-R-0018,Massachusetts (MA),2021,White-footed mouse,335,50,45,0
Massasoit Community College,14-R-0212,Massachusetts (MA),2021,Dogs,0,0,14,0
,14-R-0212,Massachusetts (MA),2021,Cats,0,0,14,0
,14-R-0212,Massachusetts (MA),2021,Guinea Pigs,0,0,0,0
,14-R-0212,Massachusetts (MA),2021,Hamsters,0,0,0,0
,14-R-0212,Massachusetts (MA),2021,Rabbits,0,0,0,0
,14-R-0212,Massachusetts (MA),2021,Non-Human Primates,0,0,0,0
,14-R-0212,Massachusetts (MA),2021,Sheep,0,0,0,0
,14-R-0212,Massachusetts (MA),2021,Pigs,0,0,0,0
,14-R-0212,Massachusetts (MA),2021,Other Animals,0,0,0,0
MAX PLANCK FLORIDA CORPORATION,58-R-0146,Florida (FL),2021,Dogs,,,,
,58-R-0146,Florida (FL),2021,Cats,,,,
,58-R-0146,Florida (FL),2021,Guinea Pigs,,,,
,58-R-0146,Florida (FL),2021,Hamsters,,,,
,58-R-0146,Florida (FL),2021,Rabbits,,,,
,58-R-0146,Florida (FL),2021,Non-Human Primates,,,,
,58-R-0146,Florida (FL),2021,Sheep,,,,
,58-R-0146,Florida (FL),2021,Pigs,,,,
,58-R-0146,Florida (FL),2021,Other Animals,0,93,233,0
,58-R-0146,Florida (FL),2021,Domestic Ferret,0,0,136,0
,58-R-0146,Florida (FL),2021,Common tree shrew,0,93,97,0
MAYO CLINIC,41-R-0006,Minnesota (MN),2021,Dogs,5,0,53,0
,41-R-0006,Minnesota (MN),2021,Cats,0,0,6,0
,41-R-0006,Minnesota (MN),2021,Guinea Pigs,,,,
,41-R-0006,Minnesota (MN),2021,Hamsters,0,0,531,0
,41-R-0006,Minnesota (MN),2021,Rabbits,30,63,311,0
,41-R-0006,Minnesota (MN),2021,Non-Human Primates,,,,
,41-R-0006,Minnesota (MN),2021,Sheep,2,0,6,0
,41-R-0006,Minnesota (MN),2021,Pigs,12,1,494,0
,41-R-0006,Minnesota (MN),2021,Other Animals,0,0,0,0
MBR WAVERLY L.L.C.,21-R-0247,New York (NY),2021,Dogs,0,0,0,0
,21-R-0247,New York (NY),2021,Cats,0,42,0,0
,21-R-0247,New York (NY),2021,Guinea Pigs,0,0,0,0
,21-R-0247,New York (NY),2021,Hamsters,0,0,0,0
,21-R-0247,New York (NY),2021,Rabbits,0,0,0,0
,21-R-0247,New York (NY),2021,Non-Human Primates,0,0,0,0
,21-R-0247,New York (NY),2021,Sheep,0,0,0,0
,21-R-0247,New York (NY),2021,Pigs,0,0,0,0
,21-R-0247,New York (NY),2021,Other Animals,0,0,0,0
MCLEAN HOSPITAL CORPORATION,14-R-0096,Massachusetts (MA),2021,Dogs,,,,
,14-R-0096,Massachusetts (MA),2021,Cats,,,,
,14-R-0096,Massachusetts (MA),2021,Guinea Pigs,,,,
,14-R-0096,Massachusetts (MA),2021,Hamsters,,,,
,14-R-0096,Massachusetts (MA),2021,Rabbits,,,,
,14-R-0096,Massachusetts (MA),2021,Non-Human Primates,0,58,74,0
,14-R-0096,Massachusetts (MA),2021,Sheep,,,,
,14-R-0096,Massachusetts (MA),2021,Pigs,,,,
,14-R-0096,Massachusetts (MA),2021,Other Animals,0,0,0,0
Mc Lennan Community College,74-R-0177,Texas (TX),2021,Dogs,0,15,18,0
,74-R-0177,Texas (TX),2021,Cats,3,12,8,0
,74-R-0177,Texas (TX),2021,Guinea Pigs,,,,
,74-R-0177,Texas (TX),2021,Hamsters,,,,
,74-R-0177,Texas (TX),2021,Rabbits,1,5,0,0
,74-R-0177,Texas (TX),2021,Non-Human Primates,,,,
,74-R-0177,Texas (TX),2021,Sheep,,,,
,74-R-0177,Texas (TX),2021,Pigs,,,,
,74-R-0177,Texas (TX),2021,Other Animals,0,27,4,0
,74-R-0177,Texas (TX),2021,Domestic Goat,0,15,2,0
,74-R-0177,Texas (TX),2021,Domestic Horse,0,4,1,0
,74-R-0177,Texas (TX),2021,Donkey / Burro / Ass,0,1,0,0
,74-R-0177,Texas (TX),2021,Cattle / Cow / Ox / Watusi,0,7,1,0
MEDAILLE COLLEGE,21-R-0180,New York (NY),2021,Dogs,0,0,44,0
,21-R-0180,New York (NY),2021,Cats,0,0,42,0
,21-R-0180,New York (NY),2021,Guinea Pigs,,,,
,21-R-0180,New York (NY),2021,Hamsters,,,,
,21-R-0180,New York (NY),2021,Rabbits,0,0,28,0
,21-R-0180,New York (NY),2021,Non-Human Primates,,,,
,21-R-0180,New York (NY),2021,Sheep,,,,
,21-R-0180,New York (NY),2021,Pigs,,,,
,21-R-0180,New York (NY),2021,Other Animals,0,0,0,0
MEDICAL COLLEGE OF WISCONSIN,35-R-0029,Wisconsin (WI),2021,Dogs,,,,
,35-R-0029,Wisconsin (WI),2021,Cats,,,,
,35-R-0029,Wisconsin (WI),2021,Guinea Pigs,0,0,23,0
,35-R-0029,Wisconsin (WI),2021,Hamsters,,,,
,35-R-0029,Wisconsin (WI),2021,Rabbits,7,0,109,0
,35-R-0029,Wisconsin (WI),2021,Non-Human Primates,,,,
,35-R-0029,Wisconsin (WI),2021,Sheep,0,0,17,0
,35-R-0029,Wisconsin (WI),2021,Pigs,0,2,21,0
,35-R-0029,Wisconsin (WI),2021,Other Animals,80,0,184,28
,35-R-0029,Wisconsin (WI),2021,Domestic Goat,0,0,14,0
,35-R-0029,Wisconsin (WI),2021,Chinchilla (domesticated),13,0,32,28
,35-R-0029,Wisconsin (WI),2021,Thirteen-lined ground squirrel,63,0,128,0
,35-R-0029,Wisconsin (WI),2021,Northern tree shrew,4,0,10,0
MEDICAL EDUCATION & RESEARCH INSTITUTE,63-R-0113,Tennessee (TN),2021,Dogs,,,,
,63-R-0113,Tennessee (TN),2021,Cats,,,,
,63-R-0113,Tennessee (TN),2021,Guinea Pigs,,,,
,63-R-0113,Tennessee (TN),2021,Hamsters,,,,
,63-R-0113,Tennessee (TN),2021,Rabbits,,,,
,63-R-0113,Tennessee (TN),2021,Non-Human Primates,,,,
,63-R-0113,Tennessee (TN),2021,Sheep,,,,
,63-R-0113,Tennessee (TN),2021,Pigs,0,0,36,0
,63-R-0113,Tennessee (TN),2021,Other Animals,0,0,0,0
Medical Innovations and Training Institute,88-R-0010,Nevada (NV),2021,Dogs,0,0,0,0
,88-R-0010,Nevada (NV),2021,Cats,0,0,0,0
,88-R-0010,Nevada (NV),2021,Guinea Pigs,0,0,0,0
,88-R-0010,Nevada (NV),2021,Hamsters,0,0,0,0
,88-R-0010,Nevada (NV),2021,Rabbits,0,0,0,0
,88-R-0010,Nevada (NV),2021,Non-Human Primates,0,0,0,0
,88-R-0010,Nevada (NV),2021,Sheep,0,0,0,0
,88-R-0010,Nevada (NV),2021,Pigs,0,0,7,0
,88-R-0010,Nevada (NV),2021,Other Animals,0,0,0,0
MEDICAL UNIVERSITY OF SOUTH CAROLINA,56-R-0001,South Carolina (SC),2021,Dogs,,,,
,56-R-0001,South Carolina (SC),2021,Cats,,,,
,56-R-0001,South Carolina (SC),2021,Guinea Pigs,,,,
,56-R-0001,South Carolina (SC),2021,Hamsters,,,,
,56-R-0001,South Carolina (SC),2021,Rabbits,0,0,12,0
,56-R-0001,South Carolina (SC),2021,Non-Human Primates,,,,
,56-R-0001,South Carolina (SC),2021,Sheep,,,,
,56-R-0001,South Carolina (SC),2021,Pigs,0,0,42,0
,56-R-0001,South Carolina (SC),2021,Other Animals,0,0,0,0
MEDIMMUNE LLC,51-R-0102,Maryland (MD),2021,Dogs,,,,
,51-R-0102,Maryland (MD),2021,Cats,,,,
,51-R-0102,Maryland (MD),2021,Guinea Pigs,,,,
,51-R-0102,Maryland (MD),2021,Hamsters,,,,
,51-R-0102,Maryland (MD),2021,Rabbits,,,,
,51-R-0102,Maryland (MD),2021,Non-Human Primates,,,,
,51-R-0102,Maryland (MD),2021,Sheep,,,,
,51-R-0102,Maryland (MD),2021,Pigs,,,,
,51-R-0102,Maryland (MD),2021,Other Animals,0,0,0,0
,51-R-0102,Maryland (MD),2021,Hispid cotton rat,0,0,0,0
MEDSTAR HEALTH RESEARCH INSTITUTE,10-R-0001,District of Columbia (DC),2021,Dogs,,,,
,10-R-0001,District of Columbia (DC),2021,Cats,,,,
,10-R-0001,District of Columbia (DC),2021,Guinea Pigs,,,,
,10-R-0001,District of Columbia (DC),2021,Hamsters,,,,
,10-R-0001,District of Columbia (DC),2021,Rabbits,0,0,67,0
,10-R-0001,District of Columbia (DC),2021,Non-Human Primates,,,,
,10-R-0001,District of Columbia (DC),2021,Sheep,,,,
,10-R-0001,District of Columbia (DC),2021,Pigs,0,0,67,0
,10-R-0001,District of Columbia (DC),2021,Other Animals,0,0,0,0
MEDTRONIC  PHYSIOLOGICAL RESEARCH LABORATORIES,41-R-0015,Minnesota (MN),2021,Dogs,8,0,82,0
,41-R-0015,Minnesota (MN),2021,Cats,,,,
,41-R-0015,Minnesota (MN),2021,Guinea Pigs,,,,
,41-R-0015,Minnesota (MN),2021,Hamsters,,,,
,41-R-0015,Minnesota (MN),2021,Rabbits,3,0,94,0
,41-R-0015,Minnesota (MN),2021,Non-Human Primates,,,,
,41-R-0015,Minnesota (MN),2021,Sheep,20,0,162,0
,41-R-0015,Minnesota (MN),2021,Pigs,15,0,250,0
,41-R-0015,Minnesota (MN),2021,Other Animals,0,0,0,0
MEHARRY MEDICAL COLLEGE,63-R-0002,Tennessee (TN),2021,Dogs,,,,
,63-R-0002,Tennessee (TN),2021,Cats,,,,
,63-R-0002,Tennessee (TN),2021,Guinea Pigs,,,,
,63-R-0002,Tennessee (TN),2021,Hamsters,,,,
,63-R-0002,Tennessee (TN),2021,Rabbits,,,,
,63-R-0002,Tennessee (TN),2021,Non-Human Primates,,,,
,63-R-0002,Tennessee (TN),2021,Sheep,,,,
,63-R-0002,Tennessee (TN),2021,Pigs,,,,
,63-R-0002,Tennessee (TN),2021,Other Animals,,,,
Memorial Sloan-Kettering Cancer Center,21-R-0072,New York (NY),2021,Dogs,,,,
,21-R-0072,New York (NY),2021,Cats,,,,
,21-R-0072,New York (NY),2021,Guinea Pigs,,,,
,21-R-0072,New York (NY),2021,Hamsters,0,0,19,0
,21-R-0072,New York (NY),2021,Rabbits,,,,
,21-R-0072,New York (NY),2021,Non-Human Primates,8,5,2,0
,21-R-0072,New York (NY),2021,Sheep,,,,
,21-R-0072,New York (NY),2021,Pigs,0,0,27,0
,21-R-0072,New York (NY),2021,Other Animals,0,0,0,0
MERCER UNIVERSITY,57-R-0004,Georgia (GA),2021,Dogs,,,,
,57-R-0004,Georgia (GA),2021,Cats,,,,
,57-R-0004,Georgia (GA),2021,Guinea Pigs,,,,
,57-R-0004,Georgia (GA),2021,Hamsters,,,,
,57-R-0004,Georgia (GA),2021,Rabbits,0,0,16,0
,57-R-0004,Georgia (GA),2021,Non-Human Primates,,,,
,57-R-0004,Georgia (GA),2021,Sheep,,,,
,57-R-0004,Georgia (GA),2021,Pigs,,,,
,57-R-0004,Georgia (GA),2021,Other Animals,0,0,0,0
Merck Sharp & Dohme LLC,22-R-0036,New Jersey (NJ),2021,Dogs,59,384,45,0
,22-R-0036,New Jersey (NJ),2021,Cats,,,,
,22-R-0036,New Jersey (NJ),2021,Guinea Pigs,189,1579,332,0
,22-R-0036,New Jersey (NJ),2021,Hamsters,0,502,0,0
,22-R-0036,New Jersey (NJ),2021,Rabbits,27,1305,117,4
,22-R-0036,New Jersey (NJ),2021,Non-Human Primates,106,638,240,0
,22-R-0036,New Jersey (NJ),2021,Sheep,,,,
,22-R-0036,New Jersey (NJ),2021,Pigs,0,0,10,0
,22-R-0036,New Jersey (NJ),2021,Other Animals,10,0,462,3
,22-R-0036,New Jersey (NJ),2021,Hispid cotton rat,10,0,462,3
MERCY COLLEGE,21-R-0230,New York (NY),2021,Dogs,0,6,0,0
,21-R-0230,New York (NY),2021,Cats,0,4,0,0
,21-R-0230,New York (NY),2021,Guinea Pigs,0,1,0,0
,21-R-0230,New York (NY),2021,Hamsters,,,,
,21-R-0230,New York (NY),2021,Rabbits,0,1,0,0
,21-R-0230,New York (NY),2021,Non-Human Primates,,,,
,21-R-0230,New York (NY),2021,Sheep,,,,
,21-R-0230,New York (NY),2021,Pigs,,,,
,21-R-0230,New York (NY),2021,Other Animals,0,1,0,0
,21-R-0230,New York (NY),2021,Domestic Ferret,0,1,0,0
MERCY HOSPITALS EAST COMMUNITIES,43-R-0015,Missouri (MO),2021,Dogs,,,,
,43-R-0015,Missouri (MO),2021,Cats,,,,
,43-R-0015,Missouri (MO),2021,Guinea Pigs,,,,
,43-R-0015,Missouri (MO),2021,Hamsters,,,,
,43-R-0015,Missouri (MO),2021,Rabbits,,,,
,43-R-0015,Missouri (MO),2021,Non-Human Primates,,,,
,43-R-0015,Missouri (MO),2021,Sheep,,,,
,43-R-0015,Missouri (MO),2021,Pigs,,,,
,43-R-0015,Missouri (MO),2021,Other Animals,,,,
MERIDIAN BIOSCIENCE INC,31-R-0097,Ohio (OH),2021,Dogs,,,,
,31-R-0097,Ohio (OH),2021,Cats,,,,
,31-R-0097,Ohio (OH),2021,Guinea Pigs,,,,
,31-R-0097,Ohio (OH),2021,Hamsters,,,,
,31-R-0097,Ohio (OH),2021,Rabbits,0,22,0,0
,31-R-0097,Ohio (OH),2021,Non-Human Primates,,,,
,31-R-0097,Ohio (OH),2021,Sheep,,,,
,31-R-0097,Ohio (OH),2021,Pigs,,,,
,31-R-0097,Ohio (OH),2021,Other Animals,0,0,0,0
MERIDIAN INSTITUTE FOR SURGICAL ASSISTING,63-R-0122,Tennessee (TN),2021,Dogs,,,,
,63-R-0122,Tennessee (TN),2021,Cats,,,,
,63-R-0122,Tennessee (TN),2021,Guinea Pigs,,,,
,63-R-0122,Tennessee (TN),2021,Hamsters,,,,
,63-R-0122,Tennessee (TN),2021,Rabbits,,,,
,63-R-0122,Tennessee (TN),2021,Non-Human Primates,,,,
,63-R-0122,Tennessee (TN),2021,Sheep,,,,
,63-R-0122,Tennessee (TN),2021,Pigs,0,0,532,0
,63-R-0122,Tennessee (TN),2021,Other Animals,0,0,0,0
MESA COMMUNITY COLLEGE,86-R-0036,Arizona (AZ),2021,Dogs,0,6,9,0
,86-R-0036,Arizona (AZ),2021,Cats,0,11,0,0
,86-R-0036,Arizona (AZ),2021,Guinea Pigs,0,0,0,0
,86-R-0036,Arizona (AZ),2021,Hamsters,0,0,0,0
,86-R-0036,Arizona (AZ),2021,Rabbits,0,1,1,0
,86-R-0036,Arizona (AZ),2021,Non-Human Primates,0,0,0,0
,86-R-0036,Arizona (AZ),2021,Sheep,0,0,0,0
,86-R-0036,Arizona (AZ),2021,Pigs,0,0,0,0
,86-R-0036,Arizona (AZ),2021,Other Animals,0,0,0,0
MIAMI UNIVERSITY  OARS,31-R-0029,Ohio (OH),2021,Dogs,,,,
,31-R-0029,Ohio (OH),2021,Cats,,,,
,31-R-0029,Ohio (OH),2021,Guinea Pigs,,,,
,31-R-0029,Ohio (OH),2021,Hamsters,,,,
,31-R-0029,Ohio (OH),2021,Rabbits,,,,
,31-R-0029,Ohio (OH),2021,Non-Human Primates,,,,
,31-R-0029,Ohio (OH),2021,Sheep,,,,
,31-R-0029,Ohio (OH),2021,Pigs,,,,
,31-R-0029,Ohio (OH),2021,Other Animals,0,0,306,0
,31-R-0029,Ohio (OH),2021,Prairie vole,0,0,226,0
,31-R-0029,Ohio (OH),2021,ARS BIRDS (Birds used for ARS facility research purposes),0,0,80,0
MICHIGAN STATE UNIVERSITY,34-R-0017,Michigan (MI),2021,Dogs,22,47,169,0
,34-R-0017,Michigan (MI),2021,Cats,35,9,24,0
,34-R-0017,Michigan (MI),2021,Guinea Pigs,0,61,3,0
,34-R-0017,Michigan (MI),2021,Hamsters,0,0,0,0
,34-R-0017,Michigan (MI),2021,Rabbits,1,0,57,0
,34-R-0017,Michigan (MI),2021,Non-Human Primates,0,0,0,0
,34-R-0017,Michigan (MI),2021,Sheep,0,0,15,0
,34-R-0017,Michigan (MI),2021,Pigs,0,0,6,0
,34-R-0017,Michigan (MI),2021,Other Animals,32,4,308,0
,34-R-0017,Michigan (MI),2021,Domestic Horse,0,0,14,0
,34-R-0017,Michigan (MI),2021,Alpaca,1,0,0,0
,34-R-0017,Michigan (MI),2021,Brow-antlered deer / Eld's deer,1,0,0,0
,34-R-0017,Michigan (MI),2021,Grassland rat,30,4,294,0
MICHIGAN TECHNOLOGICAL UNIVERSITY,34-R-0142,Michigan (MI),2021,Dogs,,,,
