estado,total,especie,n_animais,utilizado,dor,droga,exp_vida_anos,maturidade_sexual,tempo_gestacao,peso,custo_man_unidade
LA,9897,animais_de_fazenda,63,não,não,não,NA,NA,NA,NA,NA
LA,9897,porcos,0,não,não,não,27,334,115,130000,34.97
LA,9897,coelhos,8,não,não,não,13,730,30,1800,5.96
LA,9897,ovelhas,3,não,não,não,23,548,146,80000,31.09
MA,8000,outras_especies,4195,não,não,não,NA,NA,NA,NA,NA
MA,8000,gatos,0,não,não,não,30,289,65,3900,NA
MA,8000,caes,263,não,não,não,27,510,63,40000,33.17
MA,8000,cavia_p,199,não,não,não,12,66,68,728,2.77
MA,8000,hamsters,359,não,não,não,5,101,18,125,1.16
MA,8000,primatas_nao_humanos,1161,não,não,não,37,1363,166,17319,NA
MA,8000,animais_de_fazenda,850,não,não,não,NA,NA,NA,NA,NA
MA,8000,porcos,200,não,não,não,27,334,115,130000,34.97
MA,8000,coelhos,760,não,não,não,13,730,30,1800,5.96
MA,8000,ovelhas,13,não,não,não,23,548,146,80000,31.09
MD,10921,outras_especies,4838,não,não,não,NA,NA,NA,NA,NA
MD,10921,gatos,2,não,não,não,30,289,65,3900,NA
MD,10921,caes,0,não,não,não,27,510,63,40000,33.17
MD,10921,cavia_p,558,não,não,não,12,66,68,728,2.77
MD,10921,hamsters,750,não,não,não,5,101,18,125,1.16
MD,10921,primatas_nao_humanos,4702,não,não,não,37,1363,166,17319,NA
MD,10921,animais_de_fazenda,8,não,não,não,NA,NA,NA,NA,NA
MD,10921,porcos,19,não,não,não,27,334,115,130000,34.97
MD,10921,coelhos,43,não,não,não,13,730,30,1800,5.96
MD,10921,ovelhas,1,não,não,não,23,548,146,80000,31.09
ME,126,outras_especies,0,não,não,não,NA,NA,NA,NA,NA
ME,126,gatos,0,não,não,não,30,289,65,3900,NA
ME,126,caes,0,não,não,não,27,510,63,40000,33.17
ME,126,cavia_p,0,não,não,não,12,66,68,728,2.77
ME,126,hamsters,0,não,não,não,5,101,18,125,1.16
ME,126,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
ME,126,animais_de_fazenda,87,não,não,não,NA,NA,NA,NA,NA
ME,126,porcos,0,não,não,não,27,334,115,130000,34.97
ME,126,coelhos,39,não,não,não,13,730,30,1800,5.96
ME,126,ovelhas,0,não,não,não,23,548,146,80000,31.09
MI,14554,outras_especies,420,não,não,não,NA,NA,NA,NA,NA
MI,14554,gatos,65,não,não,não,30,289,65,3900,NA
MI,14554,caes,142,não,não,não,27,510,63,40000,33.17
MI,14554,cavia_p,13102,não,não,não,12,66,68,728,2.77
MI,14554,hamsters,15,não,não,não,5,101,18,125,1.16
MI,14554,primatas_nao_humanos,760,não,não,não,37,1363,166,17319,NA
MI,14554,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
MI,14554,porcos,4,não,não,não,27,334,115,130000,34.97
MI,14554,coelhos,46,não,não,não,13,730,30,1800,5.96
MI,14554,ovelhas,0,não,não,não,23,548,146,80000,31.09
MN,1781,outras_especies,2,não,não,não,NA,NA,NA,NA,NA
MN,1781,gatos,0,não,não,não,30,289,65,3900,NA
MN,1781,caes,74,não,não,não,27,510,63,40000,33.17
MN,1781,cavia_p,956,não,não,não,12,66,68,728,2.77
MN,1781,hamsters,34,não,não,não,5,101,18,125,1.16
MN,1781,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
MN,1781,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
MN,1781,porcos,308,não,não,não,27,334,115,130000,34.97
MN,1781,coelhos,376,não,não,não,13,730,30,1800,5.96
MN,1781,ovelhas,31,não,não,não,23,548,146,80000,31.09
MO,1588,outras_especies,409,não,não,não,NA,NA,NA,NA,NA
MO,1588,gatos,208,não,não,não,30,289,65,3900,NA
MO,1588,caes,247,não,não,não,27,510,63,40000,33.17
MO,1588,cavia_p,246,não,não,não,12,66,68,728,2.77
MO,1588,hamsters,96,não,não,não,5,101,18,125,1.16
MO,1588,primatas_nao_humanos,20,não,não,não,37,1363,166,17319,NA
MO,1588,animais_de_fazenda,9,não,não,não,NA,NA,NA,NA,NA
MO,1588,porcos,329,não,não,não,27,334,115,130000,34.97
MO,1588,coelhos,24,não,não,não,13,730,30,1800,5.96
MO,1588,ovelhas,0,não,não,não,23,548,146,80000,31.09
MS,40,outras_especies,22,não,não,não,NA,NA,NA,NA,NA
MS,40,gatos,0,não,não,não,30,289,65,3900,NA
MS,40,caes,1,não,não,não,27,510,63,40000,33.17
MS,40,cavia_p,0,não,não,não,12,66,68,728,2.77
MS,40,hamsters,0,não,não,não,5,101,18,125,1.16
MS,40,primatas_nao_humanos,17,não,não,não,37,1363,166,17319,NA
MS,40,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
MS,40,porcos,0,não,não,não,27,334,115,130000,34.97
MS,40,coelhos,0,não,não,não,13,730,30,1800,5.96
MS,40,ovelhas,0,não,não,não,23,548,146,80000,31.09
MT,495,outras_especies,425,não,não,não,NA,NA,NA,NA,NA
MT,495,gatos,0,não,não,não,30,289,65,3900,NA
MT,495,caes,0,não,não,não,27,510,63,40000,33.17
MT,495,cavia_p,67,não,não,não,12,66,68,728,2.77
MT,495,hamsters,0,não,não,não,5,101,18,125,1.16
MT,495,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
MT,495,animais_de_fazenda,3,não,não,não,NA,NA,NA,NA,NA
MT,495,porcos,0,não,não,não,27,334,115,130000,34.97
MT,495,coelhos,0,não,não,não,13,730,30,1800,5.96
MT,495,ovelhas,0,não,não,não,23,548,146,80000,31.09
NC,340,outras_especies,47,não,não,não,NA,NA,NA,NA,NA
NC,340,gatos,27,não,não,não,30,289,65,3900,NA
NC,340,caes,14,não,não,não,27,510,63,40000,33.17
NC,340,cavia_p,134,não,não,não,12,66,68,728,2.77
NC,340,hamsters,0,não,não,não,5,101,18,125,1.16
NC,340,primatas_nao_humanos,3,não,não,não,37,1363,166,17319,NA
NC,340,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
NC,340,porcos,46,não,não,não,27,334,115,130000,34.97
NC,340,coelhos,57,não,não,não,13,730,30,1800,5.96
NC,340,ovelhas,12,não,não,não,23,548,146,80000,31.09
ND,184,outras_especies,0,não,não,não,NA,NA,NA,NA,NA
ND,184,gatos,0,não,não,não,30,289,65,3900,NA
ND,184,caes,0,não,não,não,27,510,63,40000,33.17
ND,184,cavia_p,0,não,não,não,12,66,68,728,2.77
ND,184,hamsters,0,não,não,não,5,101,18,125,1.16
ND,184,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
ND,184,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
ND,184,porcos,0,não,não,não,27,334,115,130000,34.97
ND,184,coelhos,0,não,não,não,13,730,30,1800,5.96
ND,184,ovelhas,184,não,não,não,23,548,146,80000,31.09
NE,4,outras_especies,0,não,não,não,NA,NA,NA,NA,NA
NE,4,gatos,0,não,não,não,30,289,65,3900,NA
NE,4,caes,0,não,não,não,27,510,63,40000,33.17
NE,4,cavia_p,0,não,não,não,12,66,68,728,2.77
NE,4,hamsters,0,não,não,não,5,101,18,125,1.16
NE,4,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
NE,4,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
NE,4,porcos,2,não,não,não,27,334,115,130000,34.97
NE,4,coelhos,2,não,não,não,13,730,30,1800,5.96
NE,4,ovelhas,0,não,não,não,23,548,146,80000,31.09
NH,0,outras_especies,0,não,não,não,NA,NA,NA,NA,NA
NH,0,gatos,0,não,não,não,30,289,65,3900,NA
NH,0,caes,0,não,não,não,27,510,63,40000,33.17
NH,0,cavia_p,0,não,não,não,12,66,68,728,2.77
NH,0,hamsters,0,não,não,não,5,101,18,125,1.16
NH,0,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
NH,0,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
NH,0,porcos,0,não,não,não,27,334,115,130000,34.97
NH,0,coelhos,0,não,não,não,13,730,30,1800,5.96
NH,0,ovelhas,0,não,não,não,23,548,146,80000,31.09
NJ,2535,outras_especies,43,não,não,não,NA,NA,NA,NA,NA
NJ,2535,gatos,13,não,não,não,30,289,65,3900,NA
NJ,2535,caes,272,não,não,não,27,510,63,40000,33.17
NJ,2535,cavia_p,200,não,não,não,12,66,68,728,2.77
NJ,2535,hamsters,1067,não,não,não,5,101,18,125,1.16
NJ,2535,primatas_nao_humanos,378,não,não,não,37,1363,166,17319,NA
NJ,2535,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
NJ,2535,porcos,0,não,não,não,27,334,115,130000,34.97
NJ,2535,coelhos,550,não,não,não,13,730,30,1800,5.96
NJ,2535,ovelhas,12,não,não,não,23,548,146,80000,31.09
NM,296,outras_especies,113,não,não,não,NA,NA,NA,NA,NA
NM,296,gatos,15,não,não,não,30,289,65,3900,NA
NM,296,caes,2,não,não,não,27,510,63,40000,33.17
NM,296,cavia_p,0,não,não,não,12,66,68,728,2.77
NM,296,hamsters,17,não,não,não,5,101,18,125,1.16
NM,296,primatas_nao_humanos,149,não,não,não,37,1363,166,17319,NA
NM,296,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
NM,296,porcos,0,não,não,não,27,334,115,130000,34.97
NM,296,coelhos,0,não,não,não,13,730,30,1800,5.96
NM,296,ovelhas,0,não,não,não,23,548,146,80000,31.09
NV,12,outras_especies,0,não,não,não,NA,NA,NA,NA,NA
NV,12,gatos,0,não,não,não,30,289,65,3900,NA
NV,12,caes,0,não,não,não,27,510,63,40000,33.17
NV,12,cavia_p,5,não,não,não,12,66,68,728,2.77
NV,12,hamsters,0,não,não,não,5,101,18,125,1.16
NV,12,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
NV,12,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
NV,12,porcos,0,não,não,não,27,334,115,130000,34.97
NV,12,coelhos,7,não,não,não,13,730,30,1800,5.96
NV,12,ovelhas,0,não,não,não,23,548,146,80000,31.09
NY,1772,outras_especies,1388,não,não,não,NA,NA,NA,NA,NA
NY,1772,gatos,26,não,não,não,30,289,65,3900,NA
NY,1772,caes,16,não,não,não,27,510,63,40000,33.17
NY,1772,cavia_p,63,não,não,não,12,66,68,728,2.77
NY,1772,hamsters,75,não,não,não,5,101,18,125,1.16
NY,1772,primatas_nao_humanos,140,não,não,não,37,1363,166,17319,NA
NY,1772,animais_de_fazenda,23,não,não,não,NA,NA,NA,NA,NA
NY,1772,porcos,0,não,não,não,27,334,115,130000,34.97
NY,1772,coelhos,41,não,não,não,13,730,30,1800,5.96
NY,1772,ovelhas,0,não,não,não,23,548,146,80000,31.09
OH,4411,outras_especies,1721,não,não,não,NA,NA,NA,NA,NA
OH,4411,gatos,130,não,não,não,30,289,65,3900,NA
OH,4411,caes,58,não,não,não,27,510,63,40000,33.17
OH,4411,cavia_p,1767,não,não,não,12,66,68,728,2.77
OH,4411,hamsters,13,não,não,não,5,101,18,125,1.16
OH,4411,primatas_nao_humanos,14,não,não,não,37,1363,166,17319,NA
OH,4411,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
OH,4411,porcos,46,não,não,não,27,334,115,130000,34.97
OH,4411,coelhos,647,não,não,não,13,730,30,1800,5.96
OH,4411,ovelhas,15,não,não,não,23,548,146,80000,31.09
OK,764,outras_especies,32,não,não,não,NA,NA,NA,NA,NA
OK,764,gatos,9,não,não,não,30,289,65,3900,NA
OK,764,caes,29,não,não,não,27,510,63,40000,33.17
OK,764,cavia_p,46,não,não,não,12,66,68,728,2.77
OK,764,hamsters,0,não,não,não,5,101,18,125,1.16
OK,764,primatas_nao_humanos,612,não,não,não,37,1363,166,17319,NA
OK,764,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
OK,764,porcos,2,não,não,não,27,334,115,130000,34.97
OK,764,coelhos,10,não,não,não,13,730,30,1800,5.96
OK,764,ovelhas,24,não,não,não,23,548,146,80000,31.09
OR,2926,outras_especies,112,não,não,não,NA,NA,NA,NA,NA
OR,2926,gatos,0,não,não,não,30,289,65,3900,NA
OR,2926,caes,0,não,não,não,27,510,63,40000,33.17
OR,2926,cavia_p,4,não,não,não,12,66,68,728,2.77
OR,2926,hamsters,0,não,não,não,5,101,18,125,1.16
OR,2926,primatas_nao_humanos,2792,não,não,não,37,1363,166,17319,NA
OR,2926,animais_de_fazenda,18,não,não,não,NA,NA,NA,NA,NA
OR,2926,porcos,0,não,não,não,27,334,115,130000,34.97
OR,2926,coelhos,0,não,não,não,13,730,30,1800,5.96
OR,2926,ovelhas,0,não,não,não,23,548,146,80000,31.09
PA,6627,outras_especies,1571,não,não,não,NA,NA,NA,NA,NA
PA,6627,gatos,161,não,não,não,30,289,65,3900,NA
PA,6627,caes,126,não,não,não,27,510,63,40000,33.17
PA,6627,cavia_p,1745,não,não,não,12,66,68,728,2.77
PA,6627,hamsters,349,não,não,não,5,101,18,125,1.16
PA,6627,primatas_nao_humanos,123,não,não,não,37,1363,166,17319,NA
PA,6627,animais_de_fazenda,127,não,não,não,NA,NA,NA,NA,NA
PA,6627,porcos,21,não,não,não,27,334,115,130000,34.97
PA,6627,coelhos,2108,não,não,não,13,730,30,1800,5.96
PA,6627,ovelhas,296,não,não,não,23,548,146,80000,31.09
PR,0,outras_especies,0,não,não,não,NA,NA,NA,NA,NA
PR,0,gatos,0,não,não,não,30,289,65,3900,NA
PR,0,caes,0,não,não,não,27,510,63,40000,33.17
PR,0,cavia_p,0,não,não,não,12,66,68,728,2.77
PR,0,hamsters,0,não,não,não,5,101,18,125,1.16
PR,0,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
PR,0,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
PR,0,porcos,0,não,não,não,27,334,115,130000,34.97
PR,0,coelhos,0,não,não,não,13,730,30,1800,5.96
PR,0,ovelhas,0,não,não,não,23,548,146,80000,31.09
RI,120,outras_especies,105,não,não,não,NA,NA,NA,NA,NA
RI,120,gatos,0,não,não,não,30,289,65,3900,NA
RI,120,caes,0,não,não,não,27,510,63,40000,33.17
RI,120,cavia_p,15,não,não,não,12,66,68,728,2.77
RI,120,hamsters,0,não,não,não,5,101,18,125,1.16
RI,120,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
RI,120,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
RI,120,porcos,0,não,não,não,27,334,115,130000,34.97
RI,120,coelhos,0,não,não,não,13,730,30,1800,5.96
RI,120,ovelhas,0,não,não,não,23,548,146,80000,31.09
SC,2997,outras_especies,2996,não,não,não,NA,NA,NA,NA,NA
SC,2997,gatos,0,não,não,não,30,289,65,3900,NA
SC,2997,caes,0,não,não,não,27,510,63,40000,33.17
SC,2997,cavia_p,1,não,não,não,12,66,68,728,2.77
SC,2997,hamsters,0,não,não,não,5,101,18,125,1.16
SC,2997,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
SC,2997,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
SC,2997,porcos,0,não,não,não,27,334,115,130000,34.97
SC,2997,coelhos,0,não,não,não,13,730,30,1800,5.96
SC,2997,ovelhas,0,não,não,não,23,548,146,80000,31.09
SD,63,outras_especies,0,não,não,não,NA,NA,NA,NA,NA
SD,63,gatos,0,não,não,não,30,289,65,3900,NA
SD,63,caes,0,não,não,não,27,510,63,40000,33.17
