estado,total,especie,n_animais,utilizado,dor,droga
RI,120,ovelhas,0,não,não,não
SC,2997,outras_especies,2996,não,não,não
SC,2997,gatos,0,não,não,não
SC,2997,caes,0,não,não,não
SC,2997,cavia_p,1,não,não,não
SC,2997,hamsters,0,não,não,não
SC,2997,primatas_nao_humanos,0,não,não,não
SC,2997,animais_de_fazenda,0,não,não,não
SC,2997,porcos,0,não,não,não
SC,2997,coelhos,0,não,não,não
SC,2997,ovelhas,0,não,não,não
SD,63,outras_especies,0,não,não,não
SD,63,gatos,0,não,não,não
SD,63,caes,0,não,não,não
SD,63,cavia_p,0,não,não,não
SD,63,hamsters,0,não,não,não
SD,63,primatas_nao_humanos,0,não,não,não
SD,63,animais_de_fazenda,46,não,não,não
SD,63,porcos,0,não,não,não
SD,63,coelhos,0,não,não,não
SD,63,ovelhas,17,não,não,não
TN,1152,outras_especies,617,não,não,não
TN,1152,gatos,29,não,não,não
TN,1152,caes,15,não,não,não
TN,1152,cavia_p,0,não,não,não
TN,1152,hamsters,351,não,não,não
TN,1152,primatas_nao_humanos,129,não,não,não
TN,1152,animais_de_fazenda,11,não,não,não
TN,1152,porcos,0,não,não,não
TN,1152,coelhos,0,não,não,não
TN,1152,ovelhas,0,não,não,não
TX,16295,outras_especies,9287,não,não,não
TX,16295,gatos,46,não,não,não
TX,16295,caes,81,não,não,não
TX,16295,cavia_p,34,não,não,não
TX,16295,hamsters,9,não,não,não
TX,16295,primatas_nao_humanos,1944,não,não,não
TX,16295,animais_de_fazenda,150,não,não,não
TX,16295,porcos,146,não,não,não
TX,16295,coelhos,4498,não,não,não
TX,16295,ovelhas,100,não,não,não
UT,271,outras_especies,24,não,não,não
UT,271,gatos,0,não,não,não
UT,271,caes,0,não,não,não
UT,271,cavia_p,0,não,não,não
UT,271,hamsters,116,não,não,não
UT,271,primatas_nao_humanos,37,não,não,não
UT,271,animais_de_fazenda,51,não,não,não
UT,271,porcos,0,não,não,não
UT,271,coelhos,20,não,não,não
UT,271,ovelhas,23,não,não,não
VA,626,outras_especies,73,não,não,não
VA,626,gatos,3,não,não,não
VA,626,caes,10,não,não,não
VA,626,cavia_p,7,não,não,não
VA,626,hamsters,33,não,não,não
VA,626,primatas_nao_humanos,9,não,não,não
VA,626,animais_de_fazenda,3,não,não,não
VA,626,porcos,451,não,não,não
VA,626,coelhos,37,não,não,não
VA,626,ovelhas,0,não,não,não
VT,0,outras_especies,0,não,não,não
VT,0,gatos,0,não,não,não
VT,0,caes,0,não,não,não
VT,0,cavia_p,0,não,não,não
VT,0,hamsters,0,não,não,não
VT,0,primatas_nao_humanos,0,não,não,não
VT,0,animais_de_fazenda,0,não,não,não
VT,0,porcos,0,não,não,não
VT,0,coelhos,0,não,não,não
VT,0,ovelhas,0,não,não,não
WA,5289,outras_especies,486,não,não,não
WA,5289,gatos,0,não,não,não
WA,5289,caes,56,não,não,não
WA,5289,cavia_p,312,não,não,não
WA,5289,hamsters,67,não,não,não
WA,5289,primatas_nao_humanos,3951,não,não,não
WA,5289,animais_de_fazenda,70,não,não,não
WA,5289,porcos,41,não,não,não
WA,5289,coelhos,303,não,não,não
WA,5289,ovelhas,3,não,não,não
WI,7498,outras_especies,1006,não,não,não
WI,7498,gatos,54,não,não,não
WI,7498,caes,3635,não,não,não
WI,7498,cavia_p,76,não,não,não
WI,7498,hamsters,94,não,não,não
WI,7498,primatas_nao_humanos,1888,não,não,não
WI,7498,animais_de_fazenda,0,não,não,não
WI,7498,porcos,230,não,não,não
WI,7498,coelhos,454,não,não,não
WI,7498,ovelhas,61,não,não,não
WV,1837,outras_especies,1813,não,não,não
WV,1837,gatos,0,não,não,não
WV,1837,caes,0,não,não,não
WV,1837,cavia_p,0,não,não,não
WV,1837,hamsters,0,não,não,não
WV,1837,primatas_nao_humanos,0,não,não,não
WV,1837,animais_de_fazenda,0,não,não,não
WV,1837,porcos,0,não,não,não
WV,1837,coelhos,9,não,não,não
WV,1837,ovelhas,15,não,não,não
WY,75,outras_especies,25,não,não,não
WY,75,gatos,0,não,não,não
WY,75,caes,0,não,não,não
WY,75,cavia_p,0,não,não,não
WY,75,hamsters,0,não,não,não
WY,75,primatas_nao_humanos,0,não,não,não
WY,75,animais_de_fazenda,0,não,não,não
WY,75,porcos,0,não,não,não
WY,75,coelhos,0,não,não,não
WY,75,ovelhas,50,não,não,não
AK,141,outras_especies,141,sim,não,não
AK,141,gatos,0,sim,não,não
AK,141,caes,0,sim,não,não
AK,141,cavia_p,0,sim,não,não
AK,141,hamsters,0,sim,não,não
AK,141,primatas_nao_humanos,0,sim,não,não
AK,141,animais_de_fazenda,0,sim,não,não
AK,141,porcos,0,sim,não,não
AK,141,coelhos,0,sim,não,não
AK,141,ovelhas,0,sim,não,não
AL,3081,outras_especies,1110,sim,não,não
AL,3081,gatos,267,sim,não,não
AL,3081,caes,917,sim,não,não
AL,3081,cavia_p,15,sim,não,não
AL,3081,hamsters,36,sim,não,não
AL,3081,primatas_nao_humanos,284,sim,não,não
AL,3081,animais_de_fazenda,95,sim,não,não
AL,3081,porcos,102,sim,não,não
AL,3081,coelhos,152,sim,não,não
AL,3081,ovelhas,103,sim,não,não
AR,1486,outras_especies,3,sim,não,não
AR,1486,gatos,35,sim,não,não
AR,1486,caes,638,sim,não,não
AR,1486,cavia_p,3,sim,não,não
AR,1486,hamsters,1,sim,não,não
AR,1486,primatas_nao_humanos,137,sim,não,não
AR,1486,animais_de_fazenda,4,sim,não,não
AR,1486,porcos,6,sim,não,não
AR,1486,coelhos,659,sim,não,não
AR,1486,ovelhas,0,sim,não,não
AZ,3957,outras_especies,1723,sim,não,não
AZ,3957,gatos,637,sim,não,não
AZ,3957,caes,1238,sim,não,não
AZ,3957,cavia_p,27,sim,não,não
AZ,3957,hamsters,19,sim,não,não
AZ,3957,primatas_nao_humanos,0,sim,não,não
AZ,3957,animais_de_fazenda,160,sim,não,não
AZ,3957,porcos,60,sim,não,não
AZ,3957,coelhos,76,sim,não,não
AZ,3957,ovelhas,17,sim,não,não
CA,38696,outras_especies,6934,sim,não,não
CA,38696,gatos,1888,sim,não,não
CA,38696,caes,4332,sim,não,não
CA,38696,cavia_p,6276,sim,não,não
CA,38696,hamsters,491,sim,não,não
CA,38696,primatas_nao_humanos,1312,sim,não,não
CA,38696,animais_de_fazenda,2984,sim,não,não
CA,38696,porcos,231,sim,não,não
CA,38696,coelhos,13699,sim,não,não
CA,38696,ovelhas,549,sim,não,não
CO,5613,outras_especies,975,sim,não,não
CO,5613,gatos,255,sim,não,não
CO,5613,caes,850,sim,não,não
CO,5613,cavia_p,2021,sim,não,não
CO,5613,hamsters,294,sim,não,não
CO,5613,primatas_nao_humanos,1,sim,não,não
CO,5613,animais_de_fazenda,323,sim,não,não
CO,5613,porcos,22,sim,não,não
CO,5613,coelhos,761,sim,não,não
CO,5613,ovelhas,111,sim,não,não
CT,960,outras_especies,485,sim,não,não
CT,960,gatos,0,sim,não,não
CT,960,caes,151,sim,não,não
CT,960,cavia_p,40,sim,não,não
CT,960,hamsters,60,sim,não,não
CT,960,primatas_nao_humanos,192,sim,não,não
CT,960,animais_de_fazenda,0,sim,não,não
CT,960,porcos,3,sim,não,não
CT,960,coelhos,29,sim,não,não
CT,960,ovelhas,0,sim,não,não
DC,13248,outras_especies,12613,sim,não,não
DC,13248,gatos,8,sim,não,não
DC,13248,caes,0,sim,não,não
DC,13248,cavia_p,247,sim,não,não
DC,13248,hamsters,147,sim,não,não
DC,13248,primatas_nao_humanos,91,sim,não,não
DC,13248,animais_de_fazenda,115,sim,não,não
DC,13248,porcos,0,sim,não,não
DC,13248,coelhos,27,sim,não,não
DC,13248,ovelhas,0,sim,não,não
DE,6059,outras_especies,9,sim,não,não
DE,6059,gatos,48,sim,não,não
DE,6059,caes,56,sim,não,não
DE,6059,cavia_p,31,sim,não,não
DE,6059,hamsters,0,sim,não,não
DE,6059,primatas_nao_humanos,0,sim,não,não
DE,6059,animais_de_fazenda,497,sim,não,não
DE,6059,porcos,0,sim,não,não
DE,6059,coelhos,5377,sim,não,não
DE,6059,ovelhas,41,sim,não,não
FL,3611,outras_especies,1484,sim,não,não
FL,3611,gatos,65,sim,não,não
FL,3611,caes,200,sim,não,não
FL,3611,cavia_p,283,sim,não,não
FL,3611,hamsters,1,sim,não,não
FL,3611,primatas_nao_humanos,1162,sim,não,não
FL,3611,animais_de_fazenda,339,sim,não,não
FL,3611,porcos,7,sim,não,não
FL,3611,coelhos,24,sim,não,não
FL,3611,ovelhas,46,sim,não,não
GA,9295,outras_especies,1946,sim,não,não
GA,9295,gatos,564,sim,não,não
GA,9295,caes,2177,sim,não,não
GA,9295,cavia_p,584,sim,não,não
GA,9295,hamsters,2848,sim,não,não
GA,9295,primatas_nao_humanos,191,sim,não,não
GA,9295,animais_de_fazenda,28,sim,não,não
GA,9295,porcos,45,sim,não,não
GA,9295,coelhos,900,sim,não,não
GA,9295,ovelhas,12,sim,não,não
HI,140,outras_especies,2,sim,não,não
HI,140,gatos,35,sim,não,não
