estado,total,especie,n_animais
NM,3995,cavia_p,218
NM,3995,hamsters,103
NM,3995,primatas_nao_humanos,506
NM,3995,animais_de_fazenda,0
NM,3995,porcos,290
NM,3995,coelhos,38
NM,3995,ovelhas,0
NV,1083,outras_especies,110
NV,1083,gatos,74
NV,1083,caes,428
NV,1083,cavia_p,105
NV,1083,hamsters,0
NV,1083,primatas_nao_humanos,0
NV,1083,animais_de_fazenda,250
NV,1083,porcos,99
NV,1083,coelhos,17
NV,1083,ovelhas,0
NY,23099,outras_especies,11638
NY,23099,gatos,700
NY,23099,caes,1614
NY,23099,cavia_p,2371
NY,23099,hamsters,779
NY,23099,primatas_nao_humanos,1754
NY,23099,animais_de_fazenda,553
NY,23099,porcos,1237
NY,23099,coelhos,2245
NY,23099,ovelhas,208
OH,60210,outras_especies,3393
OH,60210,gatos,1608
OH,60210,caes,4972
OH,60210,cavia_p,33797
OH,60210,hamsters,898
OH,60210,primatas_nao_humanos,2123
OH,60210,animais_de_fazenda,232
OH,60210,porcos,2397
OH,60210,coelhos,10558
OH,60210,ovelhas,232
OK,4747,outras_especies,278
OK,4747,gatos,201
OK,4747,caes,551
OK,4747,cavia_p,2130
OK,4747,hamsters,8
OK,4747,primatas_nao_humanos,133
OK,4747,animais_de_fazenda,810
OK,4747,porcos,36
OK,4747,coelhos,529
OK,4747,ovelhas,71
OR,4458,outras_especies,987
OR,4458,gatos,58
OR,4458,caes,90
OR,4458,cavia_p,377
OR,4458,hamsters,42
OR,4458,primatas_nao_humanos,2131
OR,4458,animais_de_fazenda,139
OR,4458,porcos,191
OR,4458,coelhos,211
OR,4458,ovelhas,232
PA,29987,outras_especies,3264
PA,29987,gatos,1399
PA,29987,caes,3069
PA,29987,cavia_p,1566
PA,29987,hamsters,817
PA,29987,primatas_nao_humanos,1265
PA,29987,animais_de_fazenda,759
PA,29987,porcos,2731
PA,29987,coelhos,14007
PA,29987,ovelhas,1110
PR,4840,outras_especies,36
PR,4840,gatos,0
PR,4840,caes,0
PR,4840,cavia_p,0
PR,4840,hamsters,36
PR,4840,primatas_nao_humanos,4728
PR,4840,animais_de_fazenda,0
PR,4840,porcos,22
PR,4840,coelhos,18
PR,4840,ovelhas,0
RI,365,outras_especies,63
RI,365,gatos,51
RI,365,caes,25
RI,365,cavia_p,1
RI,365,hamsters,125
RI,365,primatas_nao_humanos,38
RI,365,animais_de_fazenda,0
RI,365,porcos,57
RI,365,coelhos,5
RI,365,ovelhas,0
SC,3849,outras_especies,2334
SC,3849,gatos,190
SC,3849,caes,311
SC,3849,cavia_p,141
SC,3849,hamsters,73
SC,3849,primatas_nao_humanos,366
SC,3849,animais_de_fazenda,12
SC,3849,porcos,242
SC,3849,coelhos,180
SC,3849,ovelhas,0
SD,1005,outras_especies,585
SD,1005,gatos,11
SD,1005,caes,8
SD,1005,cavia_p,85
SD,1005,hamsters,2
SD,1005,primatas_nao_humanos,0
SD,1005,animais_de_fazenda,57
SD,1005,porcos,148
SD,1005,coelhos,30
SD,1005,ovelhas,79
